d (cm),f (Hz),Mode (Aged) 45,Mode (Aged) 90
4,1,Spinning,Oscillation
4,2,Spinning,Oscillation
4,3,Spinning,Oscillation
4,4,Spinning,Oscillation
4,5,Spinning,Oscillation
4,6,Spinning,Oscillation
5,1,Oscillation,Oscillation
5,2,Oscillation,Oscillation
5,3,Oscillation,Oscillation
5,4,Oscillation,Oscillation
5,5,Oscillation,Oscillation
5,6,Oscillation,Oscillation
6,1,Oscillation,Oscillation
6,2,Oscillation,Oscillation
6,3,Oscillation,Oscillation
6,4,Oscillation,Oscillation
6,5,Oscillation,Oscillation
6,6,Oscillation,Oscillation
7,1,Oscillation,Oscillation
7,2,Oscillation,Oscillation
7,3,Oscillation,Oscillation
7,4,Oscillation,Oscillation
7,5,Oscillation,Oscillation
7,6,Oscillation,Oscillation
