A,b,c
2.19735093,6.594887092,163.463917
3.291621613,9.722143328,163.169971
2.133229877,5.096804704,162.7541445
7.063620839,5.498529843,180.061152
5.181041707,5.617908553,178.7017847
1.709476965,5.844658433,177.8183184
1.729753029,7.49364026,175.9236052
2.476862106,3.57940268,173.5757897
4.137692602,6.013001359,171.2960388
3.252283543,5.503602974,172.5643309
4.795049055,6.093999183,170.2389611
2.213369247,6.363674909,168.2323789
3.945922254,5.209218956,168.5156595
3.87475133,11.39971582,166.190441
4.54174074,10.91529018,165.9491028
7.033384666,6.761719747,183.5891139
6.923579428,6.670043105,181.8428568
2.585829126,6.476042331,178.671779
4.220413766,4.499970306,177.2294401
4.795094908,12.20661136,175.7235453
